consumer,consumer_table,column,target,replacement,contract,consistency
GRADE,t_grade_publish_record,published_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_calculation_batch,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_calculation_batch,calculated_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_change_log,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_change_log,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_change_log,operator_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_review_request,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_review_request,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_review_request,processed_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_analysis_snapshot,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_analysis_source_version,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,lab_experiment,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,lab_experiment,chapter_id,COURSE.crs_chapter.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,lab_experiment,created_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_submission,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_submission_source_file,uploader_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_homework,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,t_hwk_homework,chapter_id,COURSE.crs_chapter.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,t_hwk_homework,created_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_submission,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_evaluation,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_review_log,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_review_log,operator_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_report,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_report,scored_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_score,teacher_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,lab_score_change_log,operator_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
ASSESSMENT,t_hwk_submission_attachment,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
ASSESSMENT,t_hwk_submission_attachment,uploader_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_learning_task,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_learning_task,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
LEARNING,lrn_learning_task,source_id,ASSESSMENT.contracts/v2/asyncapi/events.asyncapi.json#/components/messages/assessment.homework.published.v2,assessment-homework-published-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/assessment.homework.published.v2,eventual
LEARNING,lrn_learning_progress,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_learning_progress,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
LEARNING,lrn_learning_progress,chapter_id,COURSE.crs_chapter.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
LEARNING,lrn_learning_record,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_learning_record,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
LEARNING,lrn_notification,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_notification,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
LEARNING,lrn_notification_status_log,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_reminder_rule,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
LEARNING,lrn_notification_setting,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
