table,owner,schema,primary_key,external_ids,owner_constraints,retained_indexes,migration_strategy
lab_experiment,ASSESSMENT,oj_assessment,id,course_id->COURSE.crs_course.id;chapter_id->COURSE.crs_chapter.id;created_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-course
lab_testcase,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-lab-parent
lab_submission,ASSESSMENT,oj_assessment,id,student_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-lab-parent
lab_submission_source_file,ASSESSMENT,oj_assessment,id,uploader_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-lab-submission
t_hwk_homework,ASSESSMENT,oj_assessment,id,course_id->COURSE.crs_course.id;chapter_id->COURSE.crs_chapter.id;created_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-course
t_hwk_judge_config,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-homework
t_hwk_question,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-homework
t_hwk_test_case,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-homework
lrn_learning_task,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id;course_id->COURSE.crs_course.id;source_id->ASSESSMENT.contracts/v2/asyncapi/events.asyncapi.json#/components/messages/assessment.homework.published.v2,ID-only-no-cross-FK,retain-owner-local-indexes,#341-rebuild-from-events
lrn_learning_progress,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id;course_id->COURSE.crs_course.id;chapter_id->COURSE.crs_chapter.id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-with-course-projection
t_hwk_submission,ASSESSMENT,oj_assessment,id,student_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-homework
lab_evaluation_result,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-evaluation
lab_evaluation,ASSESSMENT,oj_assessment,id,-,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-lab-submission
t_hwk_evaluation,ASSESSMENT,oj_assessment,id,student_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-homework-submission
lrn_learning_record,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id;course_id->COURSE.crs_course.id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-with-course-projection
t_hwk_review_log,ASSESSMENT,oj_assessment,id,student_id->IDENTITY.t_auth_user.user_id;operator_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-homework-submission
lrn_notification,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id;course_id->COURSE.crs_course.id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-with-notification-history
lrn_notification_status_log,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id,learning-local-FK-only,retain-owner-local-indexes,#341-copy-after-notification
lab_report,ASSESSMENT,oj_assessment,id,student_id->IDENTITY.t_auth_user.user_id;scored_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-lab-submission
lrn_reminder_rule,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-learning
lrn_notification_setting,LEARNING,oj_learning,id,user_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-learning
lrn_reminder_scan_log,LEARNING,oj_learning,id,-,learning-local-only,retain-owner-local-indexes,#341-copy-after-learning
lab_score,ASSESSMENT,oj_assessment,id,teacher_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-lab-submission
lab_score_change_log,ASSESSMENT,oj_assessment,id,operator_id->IDENTITY.t_auth_user.user_id,assessment-local-FK-only,retain-owner-local-indexes,#341-copy-after-lab-score
t_hwk_submission_attachment,ASSESSMENT,oj_assessment,id,course_id->COURSE.crs_course.id;uploader_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-homework-submission
assessment_event_outbox,ASSESSMENT,oj_assessment,id,-,assessment-local-event-dedup-and-lease,retain-owner-local-indexes,#341-rebuild-from-owner-events
course_event_outbox,COURSE,oj_course,id,-,course-local-event-dedup-and-lease,retain-owner-local-indexes,#341-rebuild-from-owner-events
course_membership_reconciliation_checkpoint,COURSE,oj_course,course_id,-,course-local-roster-reconciliation-checkpoint,retain-owner-local-indexes,#341-rebuild-from-course-roster-events
grade_event_outbox,GRADE,oj_grade,id,-,grade-local-event-dedup-and-lease,retain-owner-local-indexes,#341-rebuild-from-owner-events
assessment_event_inbox,ASSESSMENT,oj_assessment,id,-,assessment-local-consumer-dedup,retain-owner-local-indexes,#341-rebuild-from-owner-events
grade_event_inbox,GRADE,oj_grade,id,-,grade-local-consumer-dedup,retain-owner-local-indexes,#341-rebuild-from-owner-events
learning_event_inbox,LEARNING,oj_learning,id,-,learning-local-consumer-dedup,retain-owner-local-indexes,#341-rebuild-from-events
learning_event_delivery_attempt,LEARNING,oj_learning,consumer_name+event_id,-,learning-local-retry-state,retain-owner-local-indexes,#341-rebuild-from-events
learning_event_dead_letter,LEARNING,oj_learning,id,-,learning-local-dlq-dedup,retain-owner-local-indexes,#341-rebuild-from-events
learning_event_reconciliation_request,LEARNING,oj_learning,id,-,learning-local-gap-reconciliation,retain-owner-local-indexes,#341-rebuild-from-events
learning_deferred_event,LEARNING,oj_learning,id,-,learning-local-deferred-event-dedup-and-lease,retain-owner-local-indexes,#341-rebuild-from-events
learning_course_member_projection,LEARNING,oj_learning,course_id+user_id,course_id->COURSE.crs_course.id;user_id->IDENTITY.t_auth_user.user_id,ID-only-projection-from-course-member-event,retain-owner-local-indexes,#341-rebuild-from-course-member-events
learning_course_membership_watermark,LEARNING,oj_learning,course_id,course_id->COURSE.crs_course.id,ID-only-complete-roster-watermark,retain-owner-local-indexes,#337-rebuild-from-course-membership-snapshot
